FECHA (YYMMDD),HORA (HHMM),Registros validados,Registros preliminares,Registros no validados,Unnamed: 5
220214,0,6.0,,,
220215,0,7.0,,,
220216,0,8.0,,,
220217,0,5.0,,,
220218,0,3.0,,,
220219,0,5.0,,,
220220,0,10.0,,,
220221,0,6.0,,,
220222,0,17.0,,,
220223,0,10.0,,,
220224,0,6.0,,,
220225,0,8.0,,,
220226,0,10.0,,,
220227,0,8.0,,,
220228,0,9.0,,,
220301,0,5.0,,,
220302,0,5.0,,,
220303,0,8.0,,,
220304,0,12.0,,,
220305,0,13.0,,,
220306,0,22.0,,,
220307,0,17.0,,,
220308,0,26.0,,,
220309,0,14.0,,,
220310,0,14.0,,,
220311,0,10.0,,,
220312,0,16.0,,,
220313,0,8.0,,,
220314,0,12.0,,,
220315,0,10.0,,,
220316,0,12.0,,,
220317,0,12.0,,,
220318,0,24.0,,,
220319,0,49.0,,,
220320,0,30.0,,,
220321,0,11.0,,,
220322,0,13.0,,,
220323,0,17.0,,,
220324,0,15.0,,,
220325,0,16.0,,,
220326,0,21.0,,,
220327,0,21.0,,,
220328,0,21.0,,,
220329,0,33.0,,,
220330,0,40.0,,,
220331,0,16.0,,,
220401,0,14.0,,,
220402,0,21.0,,,
220403,0,9.0,,,
220404,0,9.0,,,
220405,0,18.0,,,
220406,0,24.0,,,
220407,0,41.0,,,
220408,0,46.0,,,
220409,0,32.0,,,
220410,0,11.0,,,
220411,0,25.0,,,
220412,0,20.0,,,
220413,0,10.0,,,
220414,0,30.0,,,
220415,0,22.0,,,
220416,0,32.0,,,
220417,0,53.0,,,
220418,0,20.0,,,
220419,0,16.0,,,
220420,0,17.0,,,
220421,0,43.0,,,
220422,0,32.0,,,
220423,0,28.0,,,
220424,0,28.0,,,
220425,0,41.0,,,
220426,0,27.0,,,
220427,0,105.0,,,
220428,0,75.0,,,
220429,0,54.0,,,
220430,0,24.0,,,
220501,0,39.0,,,
220502,0,19.0,,,
220503,0,30.0,,,
220504,0,29.0,,,
220505,0,31.0,,,
220506,0,49.0,,,
220507,0,31.0,,,
220508,0,17.0,,,
220509,0,26.0,,,
220510,0,68.0,,,
220511,0,124.0,,,
220512,0,73.0,,,
220513,0,46.0,,,
220514,0,89.0,,,
220515,0,242.0,,,
220516,0,332.0,,,
220517,0,322.0,,,
220518,0,341.0,,,
220519,0,279.0,,,
220520,0,172.0,,,
220521,0,61.0,,,
220522,0,33.0,,,
220523,0,34.0,,,
220524,0,50.0,,,
220525,0,52.0,,,
220526,0,47.0,,,
220527,0,62.0,,,
220528,0,65.0,,,
220529,0,131.0,,,
220530,0,155.0,,,
220531,0,116.0,,,
220601,0,220.0,,,
220602,0,245.0,,,
220603,0,174.0,,,
220604,0,51.0,,,
220605,0,54.0,,,
220606,0,72.0,,,
220607,0,43.0,,,
220608,0,77.0,,,
220609,0,57.0,,,
220610,0,81.0,,,
220611,0,358.0,,,
220612,0,258.0,,,
220613,0,129.0,,,
220614,0,176.0,,,
220615,0,75.0,,,
220616,0,31.0,,,
220617,0,23.0,,,
220618,0,46.0,,,
220619,0,49.0,,,
220620,0,132.0,,,
220621,0,259.0,,,
220622,0,287.0,,,
220623,0,308.0,,,
220624,0,342.0,,,
220625,0,279.0,,,
220626,0,87.0,,,
220627,0,57.0,,,
220628,0,66.0,,,
220629,0,59.0,,,
220630,0,66.0,,,
220701,0,88.0,,,
220702,0,87.0,,,
220703,0,91.0,,,
220704,0,60.0,,,
220705,0,82.0,,,
220706,0,93.0,,,
220707,0,109.0,,,
220708,0,157.0,,,
220709,0,96.0,,,
220710,0,41.0,,,
220711,0,93.0,,,
220712,0,69.0,,,
220713,0,133.0,,,
220714,0,74.0,,,
220715,0,70.0,,,
220716,0,67.0,,,
220717,0,44.0,,,
220718,0,15.0,,,
220719,0,25.0,,,
220720,0,33.0,,,
220721,0,57.0,,,
220722,0,112.0,,,
220723,0,110.0,,,
220724,0,95.0,,,
220725,0,146.0,,,
220726,0,101.0,,,
220727,0,64.0,,,
220728,0,16.0,,,
220729,0,29.0,,,
220730,0,62.0,,,
220731,0,53.0,,,
220801,0,37.0,,,
220802,0,45.0,,,
220803,0,64.0,,,
220804,0,46.0,,,
220805,0,151.0,,,
220806,0,81.0,,,
220807,0,31.0,,,
220808,0,57.0,,,
220809,0,22.0,,,
220810,0,27.0,,,
220811,0,42.0,,,
220812,0,26.0,,,
220813,0,65.0,,,
220814,0,35.0,,,
220815,0,31.0,,,
220816,0,31.0,,,
220817,0,36.0,,,
220818,0,15.0,,,
220819,0,20.0,,,
220820,0,69.0,,,
220821,0,44.0,,,
220822,0,27.0,,,
220823,0,34.0,,,
220824,0,17.0,,,
220825,0,26.0,,,
220826,0,21.0,,,
220827,0,37.0,,,
220828,0,59.0,,,
220829,0,100.0,,,
220830,0,27.0,,,
220831,0,30.0,,,
220901,0,16.0,,,
220902,0,10.0,,,
220903,0,9.0,,,
220904,0,10.0,,,
220905,0,26.0,,,
220906,0,67.0,,,
220907,0,45.0,,,
220908,0,49.0,,,
220909,0,17.0,,,
220910,0,22.0,,,
220911,0,31.0,,,
220912,0,39.0,,,
220913,0,34.0,,,
220914,0,59.0,,,
220915,0,45.0,,,
220916,0,60.0,,,
220917,0,34.0,,,
220918,0,42.0,,,
220919,0,45.0,,,
220920,0,101.0,,,
220921,0,43.0,,,
220922,0,47.0,,,
220923,0,28.0,,,
220924,0,15.0,,,
220925,0,17.0,,,
220926,0,14.0,,,
220927,0,14.0,,,
220928,0,19.0,,,
220929,0,25.0,,,
220930,0,29.0,,,
221001,0,51.0,,,
221002,0,84.0,,,
221003,0,48.0,,,
221004,0,14.0,,,
221005,0,13.0,,,
221006,0,12.0,,,
221007,0,22.0,,,
221008,0,23.0,,,
221009,0,13.0,,,
221010,0,10.0,,,
221011,0,11.0,,,
221012,0,14.0,,,
221013,0,17.0,,,
221014,0,15.0,,,
221015,0,14.0,,,
221016,0,44.0,,,
221017,0,31.0,,,
221018,0,14.0,,,
221019,0,9.0,,,
221020,0,11.0,,,
221021,0,16.0,,,
221022,0,26.0,,,
221023,0,16.0,,,
221024,0,11.0,,,
221025,0,18.0,,,
221026,0,9.0,,,
221027,0,17.0,,,
221028,0,20.0,,,
221029,0,17.0,,,
221030,0,28.0,,,
221031,0,10.0,,,
221101,0,15.0,,,
221102,0,31.0,,,
221103,0,24.0,,,
221104,0,14.0,,,
221105,0,9.0,,,
221106,0,11.0,,,
221107,0,13.0,,,
221108,0,7.0,,,
221109,0,8.0,,,
221110,0,9.0,,,
221111,0,11.0,,,
221112,0,7.0,,,
221113,0,6.0,,,
221114,0,11.0,,,
221115,0,10.0,,,
221116,0,11.0,,,
221117,0,15.0,,,
221118,0,9.0,,,
221119,0,16.0,,,
221120,0,16.0,,,
221121,0,8.0,,,
221122,0,5.0,,,
221123,0,10.0,,,
221124,0,11.0,,,
221125,0,10.0,,,
221126,0,8.0,,,
221127,0,6.0,,,
221128,0,6.0,,,
221129,0,4.0,,,
221130,0,7.0,,,
221201,0,6.0,,,
221202,0,8.0,,,
221203,0,10.0,,,
221204,0,10.0,,,
221205,0,14.0,,,
221206,0,10.0,,,
221207,0,11.0,,,
221208,0,10.0,,,
221209,0,13.0,,,
221210,0,20.0,,,
221211,0,9.0,,,
221212,0,6.0,,,
221213,0,9.0,,,
221214,0,7.0,,,
221215,0,8.0,,,
221216,0,5.0,,,
221217,0,6.0,,,
221218,0,5.0,,,
221219,0,10.0,,,
221220,0,9.0,,,
221221,0,6.0,,,
221222,0,7.0,,,
221223,0,10.0,,,
221224,0,7.0,,,
221225,0,4.0,,,
221226,0,4.0,,,
221227,0,6.0,,,
221228,0,6.0,,,
221229,0,4.0,,,
221230,0,5.0,,,
221231,0,7.0,,,
230101,0,6.0,,,
230102,0,5.0,,,
230103,0,3.0,,,
230104,0,5.0,,,
230105,0,2.0,,,
230106,0,3.0,,,
230107,0,5.0,,,
230108,0,6.0,,,
230109,0,5.0,,,
230110,0,17.0,,,
230111,0,8.0,,,
230112,0,7.0,,,
230113,0,5.0,,,
230114,0,8.0,,,
230115,0,5.0,,,
230116,0,5.0,,,
230117,0,5.0,,,
230118,0,7.0,,,
230119,0,4.0,,,
230120,0,3.0,,,
230121,0,2.0,,,
230122,0,4.0,,,
230123,0,6.0,,,
230124,0,,,4.0,
230125,0,,,4.0,
230126,0,,,4.0,
230127,0,,,5.0,
230128,0,3.0,,,
230129,0,3.0,,,
230130,0,4.0,,,
230131,0,6.0,,,
230201,0,4.0,,,
230202,0,4.0,,,
230203,0,4.0,,,
230204,0,4.0,,,
230205,0,5.0,,,
230206,0,7.0,,,
230207,0,4.0,,,
230208,0,3.0,,,
230209,0,5.0,,,
230210,0,7.0,,,
230211,0,8.0,,,
230212,0,6.0,,,
230213,0,14.0,,,
230214,0,9.0,,,
230215,0,,,11.0,
230216,0,20.0,,,
230217,0,11.0,,,
230218,0,5.0,,,
230219,0,9.0,,,
230220,0,7.0,,,
230221,0,6.0,,,
230222,0,5.0,,,
230223,0,5.0,,,
230224,0,9.0,,,
230225,0,10.0,,,
230226,0,7.0,,,
230227,0,4.0,,,
230228,0,,,,
230301,0,,,,
230302,0,6.0,,,
230303,0,10.0,,,
230304,0,15.0,,,
230305,0,9.0,,,
230306,0,12.0,,,
230307,0,18.0,,,
230308,0,15.0,,,
230309,0,14.0,,,
230310,0,21.0,,,
230311,0,28.0,,,
230312,0,9.0,,,
230313,0,11.0,,,
230314,0,14.0,,,
230315,0,11.0,,,
230316,0,22.0,,,
230317,0,13.0,,,
230318,0,21.0,,,
230319,0,13.0,,,
230320,0,25.0,,,
230321,0,34.0,,,
230322,0,10.0,,,
230323,0,15.0,,,
230324,0,13.0,,,
230325,0,32.0,,,
230326,0,12.0,,,
230327,0,16.0,,,
230328,0,34.0,,,
230329,0,23.0,,,
230330,0,43.0,,,
230331,0,46.0,,,
230401,0,28.0,,,
230402,0,22.0,,,
230403,0,15.0,,,
230404,0,30.0,,,
230405,0,34.0,,,
230406,0,18.0,,,
230407,0,41.0,,,
230408,0,23.0,,,
230409,0,12.0,,,
230410,0,133.0,,,
230411,0,113.0,,,
230412,0,96.0,,,
230413,0,160.0,,,
230414,0,71.0,,,
230415,0,47.0,,,
230416,0,30.0,,,
230417,0,22.0,,,
230418,0,15.0,,,
230419,0,15.0,,,
230420,0,10.0,,,
230421,0,29.0,,,
230422,0,25.0,,,
230423,0,67.0,,,
230424,0,24.0,,,
230425,0,28.0,,,
230426,0,52.0,,,
230427,0,43.0,,,
230428,0,67.0,,,
230429,0,10.0,,,
230430,0,14.0,,,
230501,0,23.0,,,
230502,0,22.0,,,
230503,0,11.0,,,
230504,0,18.0,,,
230505,0,21.0,,,
230506,0,27.0,,,
230507,0,21.0,,,
230508,0,19.0,,,
230509,0,42.0,,,
230510,0,82.0,,,
230511,0,18.0,,,
230512,0,34.0,,,
230513,0,36.0,,,
230514,0,114.0,,,
230515,0,37.0,,,
230516,0,18.0,,,
230517,0,14.0,,,
230518,0,36.0,,,
230519,0,43.0,,,
230520,0,103.0,,,
230521,0,80.0,,,
230522,0,132.0,,,
230523,0,120.0,,,
230524,0,65.0,,,
230525,0,37.0,,,
230526,0,51.0,,,
230527,0,35.0,,,
230528,0,67.0,,,
230529,0,63.0,,,
230530,0,50.0,,,
230531,0,26.0,,,
230601,0,69.0,,,
230602,0,58.0,,,
230603,0,54.0,,,
230604,0,59.0,,,
230605,0,69.0,,,
230606,0,25.0,,,
230607,0,44.0,,,
230608,0,44.0,,,
230609,0,77.0,,,
230610,0,64.0,,,
230611,0,25.0,,,
230612,0,40.0,,,
230613,0,93.0,,,
230614,0,29.0,,,
230615,0,88.0,,,
230616,0,151.0,,,
230617,0,85.0,,,
230618,0,114.0,,,
230619,0,382.0,,,
230620,0,223.0,,,
230621,0,181.0,,,
230622,0,69.0,,,
230623,0,83.0,,,
230624,0,150.0,,,
230625,0,116.0,,,
230626,0,71.0,,,
230627,0,185.0,,,
230628,0,150.0,,,
230629,0,117.0,,,
230630,0,194.0,,,
230701,0,193.0,,,
230702,0,66.0,,,
230703,0,53.0,,,
230704,0,68.0,,,
230705,0,49.0,,,
230706,0,55.0,,,
230707,0,94.0,,,
230708,0,105.0,,,
230709,0,115.0,,,
230710,0,75.0,,,
230711,0,53.0,,,
230712,0,107.0,,,
230713,0,191.0,,,
230714,0,124.0,,,
230715,0,43.0,,,
230716,0,94.0,,,
230717,0,86.0,,,
230718,0,96.0,,,
230719,0,172.0,,,
230720,0,135.0,,,
230721,0,81.0,,,
230722,0,66.0,,,
230723,0,72.0,,,
230724,0,130.0,,,
230725,0,200.0,,,
230726,0,113.0,,,
230727,0,118.0,,,
230728,0,145.0,,,
230729,0,22.0,,,
230730,0,81.0,,,
230731,0,80.0,,,
230801,0,22.0,,,
230802,0,22.0,,,
230803,0,17.0,,,
230804,0,23.0,,,
230805,0,31.0,,,
230806,0,33.0,,,
230807,0,167.0,,,
230808,0,66.0,,,
230809,0,77.0,,,
230810,0,49.0,,,
230811,0,41.0,,,
230812,0,161.0,,,
230813,0,107.0,,,
230814,0,59.0,,,
230815,0,31.0,,,
230816,0,70.0,,,
230817,0,98.0,,,
230818,0,116.0,,,
230819,0,75.0,,,
230820,0,67.0,,,
230821,0,59.0,,,
230822,0,26.0,,,
230823,0,25.0,,,
230824,0,31.0,,,
230825,0,31.0,,,
230826,0,23.0,,,
230827,0,28.0,,,
230828,0,21.0,,,
230829,0,26.0,,,
230830,0,22.0,,,
230831,0,50.0,,,
230901,0,25.0,,,
230902,0,32.0,,,
230903,0,64.0,,,
230904,0,75.0,,,
230905,0,65.0,,,
230906,0,74.0,,,
230907,0,59.0,,,
230908,0,54.0,,,
230909,0,55.0,,,
230910,0,30.0,,,
230911,0,23.0,,,
230912,0,26.0,,,
230913,0,26.0,,,
230914,0,16.0,,,
230915,0,32.0,,,
230916,0,31.0,,,
230917,0,32.0,,,
230918,0,53.0,,,
230919,0,94.0,,,
230920,0,136.0,,,
230921,0,73.0,,,
230922,0,60.0,,,
230923,0,41.0,,,
230924,0,53.0,,,
230925,0,33.0,,,
230926,0,10.0,,,
230927,0,24.0,,,
230928,0,35.0,,,
230929,0,32.0,,,
230930,0,33.0,,,
231001,0,16.0,,,
231002,0,17.0,,,
231003,0,17.0,,,
231004,0,12.0,,,
231005,0,15.0,,,
231006,0,14.0,,,
231007,0,8.0,,,
231008,0,14.0,,,
231009,0,14.0,,,
231010,0,37.0,,,
231011,0,,,13.0,
231012,0,,,2.0,
231013,0,,,2.0,
231014,0,,,2.0,
231015,0,,,12.0,
231016,0,17.0,,,
231017,0,24.0,,,
231018,0,20.0,,,
231019,0,7.0,,,
231020,0,20.0,,,
231021,0,22.0,,,
231022,0,20.0,,,
231023,0,47.0,,,
231024,0,8.0,,,
231025,0,8.0,,,
231026,0,5.0,,,
231027,0,14.0,,,
231028,0,22.0,,,
231029,0,26.0,,,
231030,0,48.0,,,
231031,0,32.0,,,
231101,0,43.0,,,
231102,0,10.0,,,
231103,0,9.0,,,
231104,0,19.0,,,
231105,0,28.0,,,
231106,0,32.0,,,
231107,0,11.0,,,
231108,0,10.0,,,
231109,0,13.0,,,
231110,0,15.0,,,
231111,0,14.0,,,
231112,0,10.0,,,
231113,0,18.0,,,
231114,0,13.0,,,
231115,0,14.0,,,
231116,0,11.0,,,
231117,0,13.0,,,
231118,0,20.0,,,
231119,0,21.0,,,
231120,0,15.0,,,
231121,0,13.0,,,
231122,0,11.0,,,
231123,0,10.0,,,
231124,0,11.0,,,
231125,0,7.0,,,
231126,0,12.0,,,
231127,0,14.0,,,
231128,0,7.0,,,
231129,0,9.0,,,
231130,0,10.0,,,
231201,0,14.0,,,
231202,0,14.0,,,
231203,0,12.0,,,
231204,0,8.0,,,
231205,0,5.0,,,
231206,0,8.0,,,
231207,0,10.0,,,
231208,0,8.0,,,
231209,0,7.0,,,
231210,0,7.0,,,
231211,0,8.0,,,
231212,0,7.0,,,
231213,0,7.0,,,
231214,0,9.0,,,
231215,0,18.0,,,
231216,0,15.0,,,
231217,0,30.0,,,
231218,0,13.0,,,
231219,0,13.0,,,
231220,0,8.0,,,
231221,0,6.0,,,
231222,0,5.0,,,
231223,0,6.0,,,
231224,0,9.0,,,
231225,0,4.0,,,
231226,0,7.0,,,
231227,0,5.0,,,
231228,0,5.0,,,
231229,0,8.0,,,
231230,0,5.0,,,
231231,0,8.0,,,
240101,0,,7.0,,
240102,0,,7.0,,
240103,0,,5.0,,
240104,0,,7.0,,
240105,0,,6.0,,
240106,0,,8.0,,
240107,0,,7.0,,
240108,0,,6.0,,
240109,0,,6.0,,
240110,0,,7.0,,
240111,0,,6.0,,
240112,0,,5.0,,
240113,0,,6.0,,
240114,0,,4.0,,
240115,0,,4.0,,
240116,0,,5.0,,
240117,0,,5.0,,
240118,0,,6.0,,
240119,0,,7.0,,
240120,0,,9.0,,
240121,0,,6.0,,
240122,0,,5.0,,
240123,0,,4.0,,
240124,0,,3.0,,
240125,0,,4.0,,
240126,0,,4.0,,
240127,0,,6.0,,
240128,0,,6.0,,
240129,0,,5.0,,
240130,0,,6.0,,
240131,0,,5.0,,
240201,0,,3.0,,
240202,0,,7.0,,
240203,0,,5.0,,
240204,0,,3.0,,
240205,0,,3.0,,
240206,0,,6.0,,
240207,0,,6.0,,
240208,0,,7.0,,
240209,0,,5.0,,
240210,0,,6.0,,
240211,0,,8.0,,
240212,0,,8.0,,
240213,0,,7.0,,
240214,0,,8.0,,
240215,0,,7.0,,
240216,0,,9.0,,
240217,0,,6.0,,
240218,0,,5.0,,
240219,0,,7.0,,
240220,0,,6.0,,
240221,0,,6.0,,
240222,0,,10.0,,
240223,0,,16.0,,
240224,0,,15.0,,
240225,0,,7.0,,
240226,0,,5.0,,
240227,0,,8.0,,
240228,0,,8.0,,
240229,0,,11.0,,
240301,0,,8.0,,
240302,0,,13.0,,
240303,0,,12.0,,
240304,0,,31.0,,
240305,0,,24.0,,
240306,0,,11.0,,
240307,0,,20.0,,
240308,0,,20.0,,
240309,0,,14.0,,
240310,0,,10.0,,
240311,0,,26.0,,
240312,0,,11.0,,
240313,0,,21.0,,
240314,0,,12.0,,
240315,0,,16.0,,
240316,0,,11.0,,
240317,0,,,4.0,
240318,0,,,2.0,
240319,0,,,2.0,
240320,0,,,8.0,
240321,0,,25.0,,
240322,0,,,57.0,
240323,0,,,46.0,
240324,0,,24.0,,
240325,0,,23.0,,
240326,0,,9.0,,
240327,0,,16.0,,
240328,0,,24.0,,
240329,0,,12.0,,
240330,0,,19.0,,
240331,0,,21.0,,
240401,0,,17.0,,
240402,0,,32.0,,
240403,0,,18.0,,
240404,0,,10.0,,
240405,0,,10.0,,
240406,0,,9.0,,
240407,0,,14.0,,
240408,0,,25.0,,
240409,0,,35.0,,
240410,0,,98.0,,
240411,0,,175.0,,
240412,0,,121.0,,
240413,0,,149.0,,
240414,0,,77.0,,
240415,0,,39.0,,
240416,0,,14.0,,
240417,0,,20.0,,
240418,0,,38.0,,
240419,0,,16.0,,
240420,0,,28.0,,
240421,0,,100.0,,
240422,0,,104.0,,
240423,0,,71.0,,
240424,0,,70.0,,
240425,0,,39.0,,
240426,0,,26.0,,
240427,0,,18.0,,
240428,0,,25.0,,
240429,0,,32.0,,
240430,0,,32.0,,
240501,0,,63.0,,
240502,0,,53.0,,
240503,0,,48.0,,
240504,0,,36.0,,
240505,0,,31.0,,
240506,0,,82.0,,
240507,0,,85.0,,
240508,0,,50.0,,
240509,0,,74.0,,
240510,0,,77.0,,
